,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,m2_living,m2_lot,m2_basement,m2_above,day,week_of_year,month,year,median_price,status
1,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,81.75467520000001,629.8826112,0.0,81.75467520000001,23,26,6,2014,279000.0,buy
10,561000075,2014-12-31,260000.0,3,1.0,1180,5350,1.5,0,0,4,6,1180,0,1959,0,98178,47.505,-122.259,1490,5350,109.62558720000001,497.031264,0.0,109.62558720000001,31,1,12,2014,279000.0,buy
19,3352402236,2014-12-15,252500.0,3,2.0,1150,6000,1.0,0,0,5,7,1150,0,1956,0,98178,47.498,-122.263,1980,6360,106.838496,557.4182400000001,0.0,106.838496,15,51,12,2014,279000.0,buy
27,185000118,2015-02-23,212000.0,4,2.0,1880,7500,1.0,0,0,5,6,980,900,1946,0,98178,47.495,-122.266,1670,14350,174.6577152,696.7728000000001,83.61273600000001,91.0449792,23,9,2,2015,279000.0,buy
35,3810000465,2014-05-20,243000.0,2,1.0,1770,5522,1.5,0,0,4,7,960,810,1943,0,98178,47.4974,-122.231,1830,7378,164.4383808,513.01058688,75.25146240000001,89.18691840000001,20,21,5,2014,279000.0,buy
66,8068000585,2014-08-27,235000.0,2,1.0,880,5600,1.0,0,0,5,7,880,0,1955,0,98178,47.5071,-122.265,1240,7015,81.75467520000001,520.257024,0.0,81.75467520000001,27,35,8,2014,279000.0,buy
68,7129300420,2014-12-02,258000.0,3,1.75,1040,5650,1.0,0,0,5,6,1040,0,1951,0,98178,47.5111,-122.256,1290,5650,96.61916160000001,524.902176,0.0,96.61916160000001,2,49,12,2014,279000.0,buy
79,1180008315,2014-07-15,212000.0,3,1.0,1040,6800,1.0,0,0,5,6,1040,0,1951,0,98178,47.492,-122.224,1430,6080,96.61916160000001,631.740672,0.0,96.61916160000001,15,29,7,2014,279000.0,buy
110,1180007005,2014-06-25,265950.0,3,1.5,1150,8450,1.0,0,0,4,6,1150,0,1951,0,98178,47.4927,-122.224,1160,6800,106.838496,785.030688,0.0,106.838496,25,26,6,2014,279000.0,buy
114,4058801065,2014-08-08,272000.0,3,2.0,1200,5700,1.0,0,0,5,7,1200,0,1942,0,98178,47.5031,-122.242,1190,6384,111.483648,529.547328,0.0,111.483648,8,32,8,2014,279000.0,buy
122,7812801925,2014-06-24,230000.0,4,1.75,1850,6000,1.0,0,0,4,6,1270,580,1944,0,98178,47.4923,-122.247,1270,6600,171.87062400000002,557.4182400000001,53.883763200000004,117.9868608,24,26,6,2014,279000.0,buy
129,7812800681,2015-01-02,166000.0,2,1.0,870,8487,1.0,0,0,4,6,870,0,1944,0,98178,47.4955,-122.239,1350,6850,80.8256448,788.4681004800001,0.0,80.8256448,2,1,1,2015,279000.0,buy
131,1180002735,2014-11-19,269000.0,2,1.5,1010,6000,1.0,0,0,4,7,1010,0,1923,0,98178,47.498,-122.222,1290,6000,93.8320704,557.4182400000001,0.0,93.8320704,19,47,11,2014,279000.0,buy
135,4279900140,2014-10-01,251000.0,4,2.0,1650,5974,1.0,0,0,5,7,860,790,1972,0,98178,47.5008,-122.257,1940,6001,153.290016,555.00276096,73.3934016,79.8966144,1,40,10,2014,279000.0,buy
144,3352402272,2014-06-11,230000.0,5,2.0,1910,7200,1.0,0,0,4,6,1110,800,1951,0,98178,47.4975,-122.261,1150,5948,177.4448064,668.9018880000001,74.322432,103.12237440000001,11,24,6,2014,279000.0,buy
