,id,date,lat,long,price_x,bedrooms,bathrooms,zipcode,price_median,status,profit
1,4060000240,2014-06-23,47.5009,-122.248,205425.0,2,1.0,98178,279000.0,compra sugerida,73575.0
10,561000075,2014-12-31,47.505,-122.259,260000.0,3,1.0,98178,279000.0,compra sugerida,19000.0
19,3352402236,2014-12-15,47.498,-122.263,252500.0,3,2.0,98178,279000.0,compra sugerida,26500.0
27,185000118,2015-02-23,47.495,-122.266,212000.0,4,2.0,98178,279000.0,compra sugerida,67000.0
35,3810000465,2014-05-20,47.4974,-122.231,243000.0,2,1.0,98178,279000.0,compra sugerida,36000.0
66,8068000585,2014-08-27,47.5071,-122.265,235000.0,2,1.0,98178,279000.0,compra sugerida,44000.0
68,7129300420,2014-12-02,47.5111,-122.256,258000.0,3,1.75,98178,279000.0,compra sugerida,21000.0
79,1180008315,2014-07-15,47.492,-122.224,212000.0,3,1.0,98178,279000.0,compra sugerida,67000.0
110,1180007005,2014-06-25,47.4927,-122.224,265950.0,3,1.5,98178,279000.0,compra sugerida,13050.0
114,4058801065,2014-08-08,47.5031,-122.242,272000.0,3,2.0,98178,279000.0,compra sugerida,7000.0
122,7812801925,2014-06-24,47.4923,-122.247,230000.0,4,1.75,98178,279000.0,compra sugerida,49000.0
129,7812800681,2015-01-02,47.4955,-122.239,166000.0,2,1.0,98178,279000.0,compra sugerida,113000.0
131,1180002735,2014-11-19,47.498,-122.222,269000.0,2,1.5,98178,279000.0,compra sugerida,10000.0
135,4279900140,2014-10-01,47.5008,-122.257,251000.0,4,2.0,98178,279000.0,compra sugerida,28000.0
144,3352402272,2014-06-11,47.4975,-122.261,230000.0,5,2.0,98178,279000.0,compra sugerida,49000.0
176,3348401622,2014-07-31,47.5003,-122.269,223000.0,3,2.0,98178,279000.0,compra sugerida,56000.0
183,1180005280,2014-07-23,47.4952,-122.224,239950.0,4,1.0,98178,279000.0,compra sugerida,39050.0
186,3352400351,2014-11-21,47.5045,-122.27,200000.0,3,1.0,98178,279000.0,compra sugerida,79000.0
195,1180005220,2015-05-05,47.495,-122.227,225000.0,2,1.0,98178,279000.0,compra sugerida,54000.0
199,7657600005,2014-10-31,47.4953,-122.238,249950.0,5,2.0,98178,279000.0,compra sugerida,29050.0
207,4059400585,2014-06-24,47.5013,-122.244,218000.0,3,1.0,98178,279000.0,compra sugerida,61000.0
211,7689600630,2014-11-06,47.4886,-122.246,216500.0,2,1.0,98178,279000.0,compra sugerida,62500.0
212,4059400190,2014-10-17,47.5001,-122.242,225000.0,2,1.0,98178,279000.0,compra sugerida,54000.0
215,4060000290,2014-06-17,47.5002,-122.247,253000.0,3,1.5,98178,279000.0,compra sugerida,26000.0
222,3347401315,2014-06-16,47.4968,-122.277,220000.0,3,2.0,98178,279000.0,compra sugerida,59000.0
241,2144800146,2014-08-26,47.4865,-122.238,257500.0,3,2.0,98178,279000.0,compra sugerida,21500.0
271,1455100116,2015-02-02,47.7289,-122.283,397500.0,3,1.25,98125,425000.0,compra sugerida,27500.0
277,751000060,2014-05-06,47.7098,-122.291,353000.0,3,1.0,98125,425000.0,compra sugerida,72000.0
281,6370000070,2014-09-19,47.7055,-122.3,359000.0,4,1.5,98125,425000.0,compra sugerida,66000.0
285,2126049032,2014-09-05,47.7231,-122.301,375000.0,3,1.75,98125,425000.0,compra sugerida,50000.0
287,3226049117,2015-02-13,47.7024,-122.322,387500.0,2,1.0,98125,425000.0,compra sugerida,37500.0
289,6632300478,2014-09-16,47.7287,-122.31,400000.0,4,2.0,98125,425000.0,compra sugerida,25000.0
295,4427100105,2015-04-28,47.7272,-122.311,398000.0,4,1.0,98125,425000.0,compra sugerida,27000.0
304,9324800110,2014-07-28,47.7336,-122.29,420000.0,3,1.75,98125,425000.0,compra sugerida,5000.0
306,6381501636,2014-08-20,47.727,-122.3,320000.0,3,1.0,98125,425000.0,compra sugerida,105000.0
313,8820902540,2014-11-14,47.7152,-122.282,425000.0,2,1.0,98125,425000.0,compra sugerida,0.0
314,7663700261,2014-10-08,47.7326,-122.291,395000.0,4,1.75,98125,425000.0,compra sugerida,30000.0
320,6855700115,2014-06-26,47.7273,-122.309,357250.0,3,1.5,98125,425000.0,compra sugerida,67750.0
